UBS_LON,UBS_LAT,UF,CITY,CITY_LON,CITY_LAT,POPULATION_2021,PIB_2019
-52.22545,-15.90682,GO,Aragarças,-52.25,-15.89,20410,236228.915
-35.0321,-8.28389,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-35.02819,-8.28353,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-35.035,-8.287,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-35.0321,-8.28389,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-35.035,-8.287,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-35.035,-8.287,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-35.035,-8.287,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-35.035,-8.287,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-34.96841,-8.2243,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-34.98027,-8.2313,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-35.035,-8.287,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-35.035,-8.287,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-35.035,-8.287,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-35.22946,-8.21801,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-35.035,-8.287,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-35.035,-8.287,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-35.035,-8.287,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-35.0321,-8.28389,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-35.0321,-8.28389,PE,Cabo de Santo Agostinho,-35.03,-8.28,210796,9922739.359
-38.233,-11.317,BA,Itapicuru,-38.23,-11.31,36173,317911.862
-49.351,-25.39237,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
